,Review_Date,Author,Rating,Review_Title,Review,Review_Url
15,29 January 2020,djjimmisgr,7," The most underrated star wars movie ever
","The truth is the first time I had watched the movie I wasn't impressed. After rewatches over the years I realised this movie gets so much hate that it didn't deserve. Especially if you compare it to the new movies (episodes 7, 8,9) it is far better in script, character development and battles. Anakin is awesome in this movie and makes you feel totally familiar with yourself the way he acts following your heart instead of cold rules.",/review/rw4019444/?ref_=tt_urv
16,9 June 2020,njforget,5," Intriguing plot, poor screenplay.
","Unfortunately, Attack Of The Clones could've been a great movie if it weren't for bad acting and poor screenplay. Many parts are great, but they are overshadowed by a love story that is cringeworthy and creepy.",/review/rw4019444/?ref_=tt_urv
17,4 June 2018,BiiivAL,10," The most romantic episode of ""Star Wars""
","The second episode of the new trilogy of ""Star Wars"" was much better than the first. He is much more gloomy, eventful and full of the sense that soon the customary world will collapse ... Moreover, it can be considered the most romantic film of the saga - speech, of course, about the love line of Anakin Skywalker and Padme Amidala performed by Natalie Portman. It is not only very well developed, but it also takes place mainly in very beautiful, blooming locations, which is generally uncommon for Star Wars. Even sad to realize that it is waiting for a tragic ending ...",/review/rw4019444/?ref_=tt_urv
18,2 December 2002,tedg,," Imax Imin
",Spoilers herein.,/review/rw4019444/?ref_=tt_urv
19,27 February 2016,SnoopyStyle,6," bad dialog but love Kamino
","The Republic is threatened as Count Dooku (Christopher Lee) agitates for a rebellion. Senator Padmé Amidala (Natalie Portman) arrives at Coruscant to vote on the creation of the Army of the Republic. After an assassination attempt, Anakin Skywalker (Hayden Christensen) is assigned to protect Padmé. They haven't seen each other in 10 years. Obi-Wan Kenobi (Ewan McGregor) traces the attacks to bounty hunter Jango Fett and the hidden water planet Kamino.",/review/rw4019444/?ref_=tt_urv
20,12 June 2002,Buddy-51,," not up to par but worth seeing
","Say what you will about George Lucas, you have to give the guy credit for setting himself a difficult task in `Star Wars: Attack of the Clones' (and I do mean beyond trying to deliver a film that will meet the almost impossibly high expectations of his millions of fanatical followers).   By choosing to place Anakin Skywalker front and center as the story's main focal point, Lucas does what few others in this business are willing to do  which is to risk making a crowd-pleasing epic without a likable central `hero.'  After all, since this film is a prequel and not a sequel to the original trilogy, we all know that this brooding young man will end up turning into the irredeemably evil Darth Vader.  Of course, Luke Skywalker fulfilled the requirements of conventional hero for the original series and even Han Solo, though he was a bit of a rogue and a scoundrel, always allowed his virtuous side to break through when the chips were down.  Anakin, though, for all his internal struggles in this film, is predestined to go over to the Dark Side (certainly in the next installment).  The pre-knowledge the audience is privy to from our acquaintance with the later chapters gives the film a kind of poignant sadness at times - or at least it would if Lucas had done a better job as both writer and director in bringing it out.  Unfortunately, the dialogue is so poorly written that Anakin comes across as little more than a petulant, peevish, moony-eyed schoolboy most of the time  hardly either the `greatest Jedi knight' we keep being told he has the potential to become nor the future Hitlerian dictator we know he will one day be.   His romantic, puppy-love interludes with Senator (former Queen) Padme Amidala are embarrassing at best.  We have indeed come a long way from the fun love triangle involving Luke, Han and the feisty Princess Leia.",/review/rw4019444/?ref_=tt_urv
21,18 December 2015,sme_no_densetsu,7," A definite improvement over ""The Phantom Menace"" but still not up to the level of the original trilogy
","Episode II of the Star Wars saga, ""Attack of the Clones"" had the misfortune of following the poorly received first instalment. The good news is that it corrected most of the problems that plagued the first movie. While still not in the same league as the original trilogy, it was nevertheless a step in the right direction.",/review/rw4019444/?ref_=tt_urv
22,4 November 2005,Atry,," Whats not to like??
","Right this is my first review, so don't slam down on me to hard! anyway... I've read a lot of comments about petty-problems with this film, but couldn't help thing'what the hell!,' this is a fun movie.",/review/rw4019444/?ref_=tt_urv
23,13 December 2003,slokes,3," If only they could have cloned Episode V
","What was it that set Darth Vader off to join the dark side of the force? This film suggests several possibilities: 1) The killing of his mother by Tusken Raiders caused him to channel John Wayne in 'The Searchers.' 2) Getting passed over during the N' Sync tryouts. 3) Discovering the woman of his dreams, upon closer inspection, is a carbonite mannequin. 4) Excess pressure on the back of his head from the so-'90s rattail he wears. 5) The shock of learning his father was evil guy Cole from ""Bachelor Party.""",/review/rw4019444/?ref_=tt_urv
24,12 February 2010,TheUnknown837-1,6," well, it's a bit better than ""The Phantom Menace"", but that isn't saying a whole lot
","""Star Wars: Episode I - The Phantom Menace"" was one of the most colossally disappointing films I've ever seen in my life. Now comes the second installment in George Lucas's prequel trilogy to the epic narrative that broke box office records and set standards for generations to come. The second movie detailing the past of Darth Vader, ""Star Wars: Episode II - Attack of the Clones"" is a little bit better, but that's not quite enough to make it a recommendable movie. It's close, but not quite. If it only they had thrown out Jar-Jar Binks (yes, I still cringe every time I think of that bumbling, frog-like freak), patched up some mediocre dialogue, reworked this sappy love story, and captured a better sense of the magic that we require for a Star Wars movie, it would have worked.",/review/rw4019444/?ref_=tt_urv
25,13 June 2021,Venomage03,6," Star Wars: Episode II - Attack of the Clones is okay
","The story is very interesting and well paced. Most of the characters are really well written. The score is beautiful with very good fight scenes. The dialogue isn't the best. The romance was very weird to watch and didn't really work for me. Also, in the middle of the movie its gets a bit boring.",/review/rw4019444/?ref_=tt_urv
26,26 August 2020,dleeliberty,9," One of my favorites
","I've watched all the star wars movies many times, and only behind episode 3 is this my favorite of the first wave of reboots. this movie is very good and very crucial to the story line. if you dont watch this movie you wouldn't be able to watch alot of the movies and understand them. either way i recommend watching this movie greatly",/review/rw4019444/?ref_=tt_urv
27,16 June 2002,andrfenlon,1," Attack of the Crap
","Although I'm not a Star Wars fanatic (I certainly don't read the books or anything), I love the old Star Wars movies.  In fact, when I was littler, The Empire Strikes Back was my favorite film.  Now that I'm older, I respect them for what they are: incredibly creative, exciting and touching films. I have yet to see Episode 1. My friend recommended Episode 2 to me, telling me that it was better than its predecessor, but warning me ""don't see it if you expect anything more than a Star Wars movie."" Maybe I just have a nostalgic love for the first trilogy, but I would never think that they were anywhere near as poor, in any way, as this new garbage. I can't think of a high budget movie that I've seen that has such bad directing, bad acting, bad casting, bad special effects (or lack thereof), bad music, bad dialogue and bad plot, as ATTACK OF THE CLONES (bad title too).  The reviewers on this site giving this movie positive reviews must all be brainwashed. Maybe they're all just excited that it's better than Episode One, which I can only assume must be the worst movie ever made, considering this one definitely belongs in the bottom 100.",/review/rw4019444/?ref_=tt_urv
28,24 December 2019,cameronjames-86959,6," Underrated but not perfect
","Attach of the clones is a very underrated Star Wars movie yes it's not perfect but is it as bad as lots of people say it is no its not. There is a lot of problems with this movie but there is some good things to. There is some great performances in this movie by most of the cast like Ewan mcgregor who gives the best performance in this movie. The villain count doku is great but there is also problems with him. The lightsaber fights are well shot and well made. The music is also great once again by John Williams. But theIr is a lot problems with attack of the clones. The story is all over the place and there is not really a set story with this movie. The villain count doku is a very great villain but the problem with him is he's barley in the movie he doesn't show up until an hour into the film and when he does show up there really isn't no threat of danger or anything by him until he captures Obi wan. The dialog in this movie is very sloppy and just bad from the infamous lines about sand and how anakin hates sand. Let's talk about Handen Christensen as Anakin he's awful as Anakin and he gives terrible performance. The love relationship between Anakin and Padme is also terrible you don't by into these 2 being in love at all because they are not supposed to be together and Padme is so on and off about her feelings for Anakin it's just bad. Overall, attack of the clones is not amazing Star Wars it's mediocre but it's not as bad as everyone says it is. Yes the pros are there but they can't save this movie.",/review/rw4019444/?ref_=tt_urv
29,2 March 2015,bh_tafe3,7," An unconvincing and at times painful love story drags down an otherwise decent movie
","Well, Obi-wan Jedi mindtricks a drug dealer into reforming, we find out Bobba Fett's father is the prototype for the Imperial Clones, Jar Jar Binks destroys democracy and Anakin and Padme get it on in this good, but somewhat ham fisted, second Star Wars film.",/review/rw4019444/?ref_=tt_urv
30,2 February 2005,Antagonisten,5," Still not good enough
","From the original trilogy to Episode 1: The Phantom Menace this film series has become a roller-coaster of quality. The original trilogy is among my all-time favorites while ""The Phantom Menace"" is one of the greatest disappointments i have ever had when it comes to movies.",/review/rw4019444/?ref_=tt_urv
31,30 June 2019,Mara-Jade-Skywalker-23,7," Not Deserving of All the Hate
",Introduction:,/review/rw4019444/?ref_=tt_urv
32,14 February 2003,BatStarIndyFreak,7," Who made you Cinema King for a day?
","I really want to know way some think we have to ""face facts"" that is is a horrid movie. In the cinema world there is NO SUCH THING as ""FACT"", either on the screen or on a critic's page. It's OPINION, no matter who's giving it. I knew what to expect, mediocre dialogue, whacky characters, ""bad feelings"", but also GREAT visuals, great mythology, and SUPERB action, so I just accept that this is to serve the purpose of ""escapism"". In the drama department, I felt it was the best of the series. The romance was forced, but that's minor enough for me that I can accept it as not being entertained, but rather being informed. Don't like it? Go ahead, but I'm sick and tired of others who push to dictate others to have to agree with them about a movie's quality.",/review/rw4019444/?ref_=tt_urv
33,5 February 2003,ericjg623,10," Technically brilliant, otherwise OK
","As a Star Wars fan, I've often wondered why the latest two Star Wars films have taken quite a beating, and I think part of the reason is this: thanks to the fact that we saw Episodes IV thru VI first, we already know how the story ends, and so much of the suspense is lost, leaving fans with much more energy to expend on their complaints. I mean, let's be honest, the acting and dialog in the Star Wars series has always been more a matter of competence than brilliance, it was the wonderful imagination and groundbreaking visual effects that made them great.",/review/rw4019444/?ref_=tt_urv
34,29 December 2021,aaronjconroy,10," Deserves more love and recognition
",This films is miles above the sequel messes from Kathleen Kennedy and Rian Johnson. And this is much more entertaining that Return Of The Jedi.,/review/rw4019444/?ref_=tt_urv
35,22 August 2014,manitobaman81,7," Good
","This is a story about a place most people might not be able to conceive. This film has a feel; you can sense it and I was getting a little shaky halfway through. It's fun watching it. In its category it is amongst the best. I was impressed. It's an amazing work and everything I had hoped for. From an artistic standpoint, there were some plot elements and character developments I didn't think were totally needed. There are slow spots, but to me the movie is too good to dismiss based on them. Some great costumes and dialog move it all along. The real centerpiece of the film is its acting. It reminds me of French movies where it's more about the characters and their environment.",/review/rw4019444/?ref_=tt_urv
36,4 January 2015,dim-tripakis,9," It was very good, unlike what I had heard
","It is now 2014 and I finally got to watch both Episode I and Episode II, during a weekend visit to some friends. Since the 3 prequels were released (I believe Episode III was in 2005) I have heard a lot of bad comments for the movies and Lucas specifically. That all he is after is money and franchising, bad director, bad writer and the like.",/review/rw4019444/?ref_=tt_urv
37,8 July 2002,paulo20,1," ""Well...it was better than Phantom Menace...""
","That's pretty much the general sentiment about the Episode II, but I would have to disagree because that would imply that The Phantom Menace was any good.  A better assessment might be that Attack of the Clone was no worse. It's basically a bunch of long drawn out sequences involving indiscernible politics (except, perhaps, to the fanatics)  and a painfully forced romance, plus another annoying scene involving a fat, four-armed alien in a diner, punctuated by a string of action sequences that just barely save this film from being a total waste of $9.25.",/review/rw4019444/?ref_=tt_urv
38,26 November 2002,xteve,," Terrible script & poor editing make this a poor clone
","I just watched this on DVD last night, having seen it in the theatre. I was very disappointed when I watched the scenes that had been cut, as they fleshed out the story a lot more than the final cut. You learned more about the wasp creatures near the end of the film and why Dooku enlisted their help. Padme's character was a lot more established as well in visits to her parents house and in a confrontation with Dooku.",/review/rw4019444/?ref_=tt_urv
39,21 November 2003,Li-1,," Multiple viewings only make it more obvious what a wasted opportunity this series is getting to be.
",** out of ****,/review/rw4019444/?ref_=tt_urv
40,31 May 2002,Caustic Pulp,1," All in a piece of fruit.
","The fundamental flaws in Star Wars: Episode II - Attack of the Clones are pretty much summed up in a single scene in this film. Anakin Skywalker and Padme Amidala are sitting at a dinner table (?), and decide to share a piece of fruit. And during this entire scene, the piece of fruit is completely computer generated, and it shows. It's horribly obvious when Anakin slices it in half, and becomes downright inexcusable when Padme takes a bite of it. We can see the actors are just miming the motions. God has killed a kitten because of this.",/review/rw4019444/?ref_=tt_urv
41,21 June 2006,ccthemovieman-1,6," Only Disappointing Star Wars Film, But Still Decent
","This was the only Star Wars film of the six in the series that disappointed me. I still like it, overall, but the teen romance didn't do anything for me and took away from the normally more interesting story lines. The romance doesn't take up a lot of time but it features a lot of stupid dialog and leads to a stupid finish in the film.",/review/rw4019444/?ref_=tt_urv
42,8 August 2022,deruytterwolfgang,9," Better than they say
","I know, I'm in the minority yet again. Am I too kind? No, not at all. Trust me, if I hate a movie, i'll hate it, don't you worry. But i don't know, I just really love this movie. I love the feel yet again. I always liked how this movie has two stories. We have the detective obi wan story ald the Anakin and Padme love story. I love that. I love that Obi Wan needs to investigate a bounty hunter and how we get to see Kamino. I'll always love that detective Obi Wan side. And yes, the love story is a bit cringe, but that's the way dialogue always work in Star Wars. Don't you dare tell me that the OG star wars have the most deep love stories going on. Luke just sees Leia as a beautiful woman and it doesn't go deeper than that. George INTENDED this kind of wooden dialogue. And I love it. Both these stories come together in Geonosis where we see an epic battle that begins the Clone wars. Perfect. Yeah go on, hate me.",/review/rw4019444/?ref_=tt_urv
43,13 June 2007,classicsoncall,8," ""The shroud of the dark side has fallen.""
","This might be the most intricately detailed and plotted of all the Star Wars films, but judging from all the negative reviewers on this board, I have to wonder if they paid attention long enough to understand what was going on. Conspiracy and double crosses abound, with the introduction of Christopher Lee's character Count Dooku leading the separatist movement against the Republic. Then there's Chancellor Palpatine pulling strings that will eventually give rise to the supremacy of the Sith and the Dark Side of the Force. His flattery of young Anakin Skywalker is recognition of the Jedi's powerful potential, and is intended to hasten his corruption.",/review/rw4019444/?ref_=tt_urv
44,26 May 2022,FinalSmash1689,7," An Entertaining Space Opera with an Amazing 3rd Act
",My 'Attack of the Clones' Review:,/review/rw4019444/?ref_=tt_urv
45,27 June 2018,bombersflyup,10," Elan Sleazebaggano: You wanna buy some death-sticks? Obi-Wan: You don't want to sell me death sticks. Elan Sleazebaggano: Ah, I don't want to sell you death sticks.
","Star Wars: Episode II - Attack of the Clones is a very eventful, up and down mess of a film, but still quality.",/review/rw4019444/?ref_=tt_urv
46,7 May 2022,hanscarstenstenzel,7," And I thought the prequells were weak
","In retrospect the prequells were not the worst part of the saga, even though I thought so at the time. But now... sequells and tons of unnecessary tv-shows prove that it is getting worst . Rise of... sorry, I had to ...reverse eating.",/review/rw4019444/?ref_=tt_urv
47,29 December 2016,Leofwine_draca,5," Only average overall, but a big step up from the first one
","It was with low hopes that I set out to the cinema to watch the latest offering from George Lucas, considering the out-and-out failure of The Phantom Menace, a film which helped to sour the image of the bearded god for thousands of former fans. In the three years since, Lucas seems to have learned something about film-making and has perhaps even managed to recapture some of the magic which was missing from the first movie. The characters have more interactions this time around, the plot isn't as boring and as a whole the film holds together a lot better than it rightfully should.",/review/rw4019444/?ref_=tt_urv
48,27 May 2002,bob the moo,," Better than Episode 1 but so is getting kicked in the n*ts
","An attempt on the life of Senator Padmé leads to Jedi knights Obi-Wan Kenobi and Anakin Skywalker being assigned to protect her. Further information on the assassin leads Obi-Wan to travel to a distant constellation while Anakin and Padmé go undercover to travel to her home planet for safety. While Anakin and Padmé begin to fall for each other, Obi-Wan discovers a factory planet producing a clone army for the Republic. With events appearing to be being controlled by powerful external sources the Jedi's find themselves faced with a battle against a further force within the Trade Federation.",/review/rw4019444/?ref_=tt_urv
49,19 December 2015,blanbrn,7," More space wars and the film hints at a darkness in the making.
",Star Wars Episode II-Attack of the Clones is a story that continues the journey of the Jedi Knights and their fight with evil of the dark federation. The film picks up 10 years later with now Anakin Skywalker growing up and more yet he's still being trained by Obi-Wan you can see that young Skywalker is stubborn and soon may slip to the evil side of the dark empire as the top Jedi masters can even feel it. However in the current time Anakin has started a romance with Padme who use to be a former senator and things are more complex when the empire puts out an assassination attempt out on her life. The Jedi army then has to take her back to Naboo for her protection. Still in this episode it's more of the same of space fighting and good facing evil as it's a build up to a revealing episode III.,/review/rw4019444/?ref_=tt_urv
50,19 February 2019,P97,6," the cringiest entry in the saga
","At least episode i had darth maul and qui gon but this one is just hilariously bad i mean the dialog between young anakin and padme, dear god what were you thinking george.",/review/rw4019444/?ref_=tt_urv
51,17 November 2004,beccaj_ilh,10," Better than I expected
","Before seeing Attack of the clones I had seen neither the original star wars nor episode I and I didn't have any particularly strong ambitions to see them, I am a big cult fan but star wars just never really appealed to me.",/review/rw4019444/?ref_=tt_urv
52,26 May 2007,petra_ste,4," Puberty leads to the Dark Side
","Attack of the Clones is the weakest Star Wars prequel. Revenge of the Sith has flaws but also compelling moments; The Phantom Menace at least feels like a Star Wars movie, although a mediocre one. Clones is soulless: sadly, Lucas botches the love story which should have been the emotional core of the film.",/review/rw4019444/?ref_=tt_urv
53,25 May 2002,tedg,," The Dark Side
",Spoilers herein.,/review/rw4019444/?ref_=tt_urv
54,18 May 2020,fernandoschiavi,7," The Episode II is pure fun with a well-made best laying depth relationships with others (especially with episodes IV and V) and it brings many elements of the series
","After the great box office The Phantom Menace, George Lucas returns to the penultimate part of its hit series, this being the second in chronological order. Lucas back in the direction and the script alongside Jonathan Hales. As a major news, the Episode II, is the first big-budget film to be shot entirely with digital cameras.",/review/rw4019444/?ref_=tt_urv
